group,value,n,weighted_n,pos_rate,pred_pos_rate,precision,recall,roc_auc
sex,Female,20837,35568664.0,0.026070224341290974,0.02268713129062143,0.4734237192483631,0.4119882488955234,0.93996391994836
sex,Male,19068,33867918.239999995,0.1050019515459891,0.12286471965925004,0.6151082934734915,0.719749556317527,0.9484060793666539
race,Amer Indian Aleut or Eskimo,437,413951.19999999995,0.032012662362133515,0.04573077696114905,0.28217657291402,0.4030953056518118,0.9072777339264219
race,Asian or Pacific Islander,1158,1756502.19,0.08821453276981112,0.08936757431540691,0.6529945594929722,0.6615297728246361,0.9546442876834003
race,Black,4097,8899521.89,0.02397826564590876,0.02197273768377685,0.4643865414151879,0.4255455256470276,0.9496929162491969
race,Other,729,774614.11,0.020951490284627013,0.01782874830410719,0.6015647627874646,0.5119037642981961,0.9769304955063032
race,White,33484,57591992.849999994,0.07094137983106796,0.07957462649254377,0.5967099698316856,0.6693268877318729,0.9529026376470103
